Department,Course Count
ANTH,184
ENGL,171
MADD,162
BIOS,143
HIST,123
GNSE,111
CRWR,110
ECON,107
CMSC,94
CMLT,94
CMST,92
ARTH,92
FNDL,74
MATH,74
ENST,73
CHEM,73
MUSI,72
FREN,72
ARCH,72
CHIN,68
PLSC,64
HMRT,60
HIPS,58
EALC,56
GLST,56
CLCV,54
ARAB,52
LACS,52
MENG,52
ITAL,51
PBPL,51
PHIL,49
SPAN,49
NEHC,49
RLST,46
CHDV,45
STAT,42
JWSC,41
SALC,41
ARTV,40
GRMN,38
PHYS,37
REES,37
LLSO,35
NSCI,35
MDVL,34
LING,34
BUSN,32
ASTR,32
SOCI,31
TAPS,31
GEOS,30
PSYC,28
KORE,24
DEMS,24
ECMA,23
COGS,23
DATA,22
JAPN,20
LATN,20
MACS,19
RDIN,18
CEGU,18
TURK,17
GREK,17
CATA,14
HIND,14
MARA,14
RUSS,14
PORT,13
SSAD,13
HEBR,13
DIGS,13
BCSN,12
ENSC,11
PERS,11
ASLG,10
POLI,10
MOGK,9
BANG,9
SWAH,8
URDU,8
TAML,8
TBTN,8
NORW,8
SANS,8
CZEC,7
AANL,7
BASQ,7
NEAA,7
IRHU,7
SCPD,5
GISC,5
UGAR,4
UKRA,3
NELG,2
UZBK,2
MAPS,1
KREY,1
PPHA,1
YDDH,1
